,JPN01-SolarGrid-post2016_exo,JPN02-SolarGrid-post2016_exo,JPN03-SolarGrid-post2016_exo,JPN04-SolarGrid-post2016_exo,JPN05-SolarGrid-post2016_exo,JPN06-SolarGrid-post2016_exo,JPN07-SolarGrid-post2016_exo,JPN08-SolarGrid-post2016_exo,JPN09-SolarGrid-post2016_exo,JPN01-OnshoreWind-post2016_exo,JPN02-OnshoreWind-post2016_exo,JPN03-OnshoreWind-post2016_exo,JPN04-OnshoreWind-post2016_exo,JPN05-OnshoreWind-post2016_exo,JPN06-OnshoreWind-post2016_exo,JPN07-OnshoreWind-post2016_exo,JPN08-OnshoreWind-post2016_exo,JPN09-OnshoreWind-post2016_exo,JPN01-SolarGrid-pre2016_exo,JPN02-SolarGrid-pre2016_exo,JPN03-SolarGrid-pre2016_exo,JPN04-SolarGrid-pre2016_exo,JPN05-SolarGrid-pre2016_exo,JPN06-SolarGrid-pre2016_exo,JPN07-SolarGrid-pre2016_exo,JPN08-SolarGrid-pre2016_exo,JPN09-SolarGrid-pre2016_exo,JPN01-OnshoreWind-pre2016_exo,JPN02-OnshoreWind-pre2016_exo,JPN03-OnshoreWind-pre2016_exo,JPN04-OnshoreWind-pre2016_exo,JPN05-OnshoreWind-pre2016_exo,JPN06-OnshoreWind-pre2016_exo,JPN07-OnshoreWind-pre2016_exo,JPN08-OnshoreWind-pre2016_exo,JPN09-OnshoreWind-pre2016_exo
2858,0,0,0,0,0,0,0,0,0,0.462,0.171,0.467,0.254,0.674,0.576,0.462,0.569,0.44,0,0,0,0,0,0,0,0,0,0.462,0.171,0.467,0.254,0.674,0.576,0.462,0.569,0.44
2859,0,0,0,0,0,0,0,0,0,0.438,0.252,0.467,0.305,0.703,0.548,0.432,0.569,0.405,0,0,0,0,0,0,0,0,0,0.438,0.252,0.467,0.305,0.703,0.548,0.432,0.569,0.405
2860,0.004,0,0,0,0.001,0,0,0,0,0.421,0.316,0.489,0.403,0.616,0.364,0.417,0.617,0.372,0.004,0,0,0,0.001,0,0,0,0,0.421,0.316,0.489,0.403,0.616,0.364,0.417,0.617,0.372
2861,0.059,0.011,0.004,0.001,0.002,0.003,0.005,0.008,0,0.453,0.304,0.511,0.476,0.42,0.346,0.364,0.569,0.362,0.059,0,0.004,0.001,0.002,0.003,0.005,0.008,0,0.453,0.304,0.511,0.476,0.42,0.346,0.364,0.569,0.362
2862,0.072,0.031,0.017,0.009,0.009,0.041,0.059,0.038,0.025,0.431,0.352,0.467,0.517,0.391,0.3,0.42,0.617,0.357,0.072,0.011,0.017,0.009,0.009,0.041,0.059,0.038,0.025,0.431,0.352,0.467,0.517,0.391,0.3,0.42,0.617,0.357
2863,0.089,0.071,0.047,0.037,0.028,0.094,0.16,0.103,0.085,0.396,0.433,0.467,0.552,0.261,0.295,0.299,0.617,0.302,0.089,0.031,0.047,0.037,0.028,0.094,0.16,0.103,0.085,0.396,0.433,0.467,0.552,0.261,0.295,0.299,0.617,0.302
2864,0.129,0.159,0.061,0.093,0.092,0.163,0.243,0.175,0.131,0.401,0.564,0.444,0.485,0.232,0.323,0.299,0.332,0.166,0.129,0.071,0.061,0.093,0.092,0.163,0.243,0.175,0.131,0.401,0.564,0.444,0.485,0.232,0.323,0.299,0.332,0.166
2865,0.185,0.213,0.097,0.169,0.237,0.217,0.298,0.191,0.254,0.421,0.549,0.444,0.473,0.297,0.286,0.265,0.285,0.219,0.185,0.159,0.097,0.169,0.237,0.217,0.298,0.191,0.254,0.421,0.549,0.444,0.473,0.297,0.286,0.265,0.285,0.219
2866,0.265,0.297,0.162,0.242,0.324,0.283,0.371,0.248,0.357,0.307,0.543,0.489,0.441,0.551,0.364,0.186,0.332,0.206,0.265,0.213,0.162,0.242,0.324,0.283,0.371,0.248,0.357,0.307,0.543,0.489,0.441,0.551,0.364,0.186,0.332,0.206
2867,0.418,0.338,0.224,0.262,0.511,0.282,0.545,0.32,0.46,0.266,0.623,0.489,0.349,0.514,0.29,0.186,0.237,0.196,0.418,0.297,0.224,0.262,0.511,0.282,0.545,0.32,0.46,0.266,0.623,0.489,0.349,0.514,0.29,0.186,0.237,0.196
