seed,solution,objective_1,objective_2,cfe_score,type,SGPXX-bioenergy-unspecified,SGPXX-open-cycle-gas-turbine,SGPXX-oil-unspecified,SGPXX-photovoltaic-unspecified,SGPXX-waste,SGPXX-battery
1,81,840462414916232.5,0.0,0.0,feasible,812360.9053469008,447575.17408597935,26401.11373606159,877740.3087886913,769441.721596961,229440.2030053706
1,82,467451139368344.6,0.0,0.0,feasible,7338.200450756719,536641.5916113734,326154.4751845162,722653.165897044,77638.03307999969,126940.52345177298
1,83,1251913799891749.8,0.0,0.0,feasible,550439.6811279063,489027.88861237245,313365.5837226503,742255.2147782685,239853.47258142522,342502.83107185154
1,84,2369574772198941.5,0.0,0.0,feasible,29443.665789571627,632662.843194591,934365.6434059126,456296.51088801207,972001.2381999808,649624.62341655
1,85,444181377633707.7,0.0,0.0,feasible,962271.9447668208,499406.59588287584,653197.3483997512,540269.3433617107,353763.02648323536,120546.23116775154
1,86,2167683428454053.5,0.0,0.0,feasible,40034.75166250292,649766.2900727924,92980.14245769674,117206.656249848,550919.1925262403,594146.9491609911
1,87,605073460349975.0,0.0,0.0,feasible,71121.8633331667,302671.22238920775,676575.2271572375,638192.4677088199,126467.06746497814,164757.72825160073
1,88,110322960785666.4,0.0,0.0,non-dominated,155647.941881273,473736.5530016908,833559.079241823,352266.8475390618,989249.039178282,28805.35632976722
1,89,796413989214510.5,0.0,0.0,feasible,237240.48920794838,295217.00831623585,337566.2451795013,656231.4791381295,679230.0164492807,217336.1465994743
1,90,478226444435180.6,0.0,0.0,feasible,934074.9148603927,246083.80089729585,820502.4072722262,884205.9794664464,702801.2513861984,129901.4669643268
1,91,2463443266058036.0,0.0,0.0,feasible,346796.33227648,704011.0248663359,4391.298647098249,159400.59853414295,637427.702452273,675418.7244838803
1,92,3052983735897557.0,0.0,0.0,feasible,708757.863598701,993663.075699089,472069.4375718987,131956.44590100856,829458.1282474137,837418.4097579264
1,93,3176434922739824.5,0.0,0.0,feasible,712578.1112372639,619920.2955466389,45429.56362612812,189531.15068317542,552844.3830575435,871341.5319832737
1,94,2396967101083378.0,0.0,0.0,feasible,220778.96785623083,630111.0879543431,812268.7063559638,423336.95990284893,104612.2037492494,657151.7549456371
1,95,1843384060439700.2,0.0,0.0,feasible,390331.2294722501,32430.82934910548,489126.4866188345,59479.19962925638,283721.7528488992,505032.8030749757
1,96,652218989475479.2,0.0,0.0,feasible,947745.8275301481,303484.60419604013,204768.4585558651,388135.6033428406,546556.3520107117,177712.83696956385
1,97,909560075571550.4,0.0,0.0,feasible,500654.5226135353,265102.67309764284,171213.98604692172,161141.30571308313,348096.71994480403,248427.53271724161
1,98,679060032511658.0,0.0,0.0,feasible,885011.5972880777,713564.7575880754,595381.7628061683,396150.7407812319,780032.0180728621,185088.4807917288
1,99,2884658558479022.5,0.0,0.0,feasible,537877.2852575256,77358.30286624355,625602.4143693299,479852.920193775,701966.9186810218,791164.3743514625
1,100,3581250621378519.0,0.0,0.0,feasible,371320.78937705746,288549.15004524105,116966.3557494885,906411.4901247195,181165.4362882494,982580.7413819316
2,1,46442126938708.51,4.053923968589759,0.0,non-dominated,547732.9276034381,223146.76809477623,659430.9094821494,647585.986953033,560670.9469452503,11251.557213864171
2,2,651385405361140.1,0.0,0.0,feasible,892890.5283373618,58814.91285006939,691473.8172164432,200313.83170286412,657240.4605176368,177483.7765893509
2,3,3537969863171484.5,0.0,0.0,feasible,97603.69874124097,51811.07176166498,945624.5578202073,698735.7476507177,132212.7842552352,970687.632144036
2,4,1464917982509122.8,0.0,0.0,feasible,315028.6789550416,505496.2992857497,344008.4597364991,51919.05930792717,874853.1874363109,401034.19967401534
2,5,2557152369735194.0,0.0,0.0,feasible,174805.11864789965,849036.9323823954,132491.89195275048,470476.63621227327,307075.15282126126,701169.0267610843
