,TWN-PumpedHydro
1017,5720.908602150537
1018,4825.268817204302
1019,3897.97311827957
1020,2954.2365591397847
1021,2035.6505376344085
1022,1180.6774193548388
1023,457.1881720430108
1024,0.0
1025,16.822580645161224
1026,493.26881720430106
1027,1195.97311827957
1028,1950.010752688172
1029,2702.005376344086
1030,3417.1505376344085
1031,4083.2150537634407
1032,1624.7365591397843
1033,2012.8548387096769
1034,2649.0161290322576
1035,3547.827956989247
1036,5077.559139784946
1037,6114.715053763441
1038,6599.435483870968
1039,6692.553763440861
1040,6365.822580645161
1041,5720.908602150537
1042,4825.268817204302
1043,3897.97311827957
1044,2954.2365591397847
1045,2035.6505376344085
1046,1180.6774193548388
1047,457.1881720430108
1048,0.0
1049,16.822580645161224
1050,493.26881720430106
1051,1195.97311827957
1052,1950.010752688172
1053,2702.005376344086
1054,3417.1505376344085
1055,4083.2150537634407
1056,1624.7365591397843
1057,2012.8548387096769
1058,2649.0161290322576
1059,3547.827956989247
1060,5077.559139784946
1061,6114.715053763441
1062,6599.435483870968
1063,6692.553763440861
1064,6365.822580645161
1065,5720.908602150537
1066,4825.268817204302
1067,3897.97311827957
1068,2954.2365591397847
1069,2035.6505376344085
1070,1180.6774193548388
1071,457.1881720430108
1072,0.0
1073,16.822580645161224
1074,493.26881720430106
1075,1195.97311827957
1076,1950.010752688172
1077,2702.005376344086
1078,3417.1505376344085
1079,4083.2150537634407
1080,1624.7365591397843
1081,2012.8548387096769
1082,2649.0161290322576
1083,3547.827956989247
1084,5077.559139784946
1085,6114.715053763441
1086,6599.435483870968
1087,6692.553763440861
1088,6365.822580645161
1089,5720.908602150537
1090,4825.268817204302
1091,3897.97311827957
1092,2954.2365591397847
1093,2035.6505376344085
1094,1180.6774193548388
1095,457.1881720430108
1096,0.0
1097,16.822580645161224
1098,493.26881720430106
1099,1195.97311827957
1100,1950.010752688172
1101,2702.005376344086
1102,3417.1505376344085
1103,4083.2150537634407
1104,1624.7365591397843
1105,2012.8548387096769
1106,2649.0161290322576
1107,3547.827956989247
1108,5077.559139784946
1109,6114.715053763441
1110,6599.435483870968
1111,6692.553763440861
1112,6365.822580645161
1113,5720.908602150537
1114,4825.268817204302
1115,3897.97311827957
1116,2954.2365591397847
1117,2035.6505376344085
1118,1180.6774193548388
1119,457.1881720430108
1120,0.0
1121,16.822580645161224
1122,493.26881720430106
1123,1195.97311827957
1124,1950.010752688172
1125,2702.005376344086
1126,3417.1505376344085
1127,4083.2150537634407
1128,1624.7365591397843
1129,2012.8548387096769
1130,2649.0161290322576
1131,3547.827956989247
1132,5077.559139784946
1133,6114.715053763441
1134,6599.435483870968
1135,6692.553763440861
1136,6365.822580645161
1137,5720.908602150537
1138,4825.268817204302
1139,3897.97311827957
1140,2954.2365591397847
1141,2035.6505376344085
1142,1180.6774193548388
1143,457.1881720430108
1144,0.0
1145,16.822580645161224
1146,493.26881720430106
1147,1195.97311827957
1148,1950.010752688172
1149,2702.005376344086
1150,3417.1505376344085
1151,4083.2150537634407
1152,1624.7365591397843
1153,2012.8548387096769
1154,2649.0161290322576
1155,3547.827956989247
1156,5077.559139784946
1157,6114.715053763441
1158,6599.435483870968
1159,6692.553763440861
1160,6365.822580645161
1161,5720.908602150537
1162,4825.268817204302
1163,3897.97311827957
1164,2954.2365591397847
1165,2035.6505376344085
1166,1180.6774193548388
1167,457.1881720430108
1168,0.0
1169,16.822580645161224
1170,493.26881720430106
1171,1195.97311827957
1172,1950.010752688172
1173,2702.005376344086
1174,3417.1505376344085
1175,4083.2150537634407
1176,1624.7365591397843
1177,2012.8548387096769
1178,2649.0161290322576
1179,3547.827956989247
1180,5077.559139784946
1181,6114.715053763441
1182,6599.435483870968
1183,6692.553763440861
1184,6365.822580645161
1185,5720.908602150537
1186,4825.268817204302
1187,3897.97311827957
1188,2954.2365591397847
1189,2035.6505376344085
1190,1180.6774193548388
1191,457.1881720430108
1192,0.0
1193,16.822580645161224
1194,493.26881720430106
1195,1195.97311827957
1196,1950.010752688172
1197,2702.005376344086
1198,3417.1505376344085
1199,4083.2150537634407
1200,1624.7365591397843
1201,2012.8548387096769
1202,2649.0161290322576
1203,3547.827956989247
1204,5077.559139784946
1205,6114.715053763441
1206,6599.435483870968
1207,6692.553763440861
1208,6365.822580645161
1209,5720.908602150537
1210,4825.268817204302
1211,3897.97311827957
1212,2954.2365591397847
1213,2035.6505376344085
1214,1180.6774193548388
1215,457.1881720430108
1216,0.0
1217,16.822580645161224
1218,493.26881720430106
1219,1195.97311827957
1220,1950.010752688172
1221,2702.005376344086
1222,3417.1505376344085
1223,4083.2150537634407
1224,1624.7365591397843
1225,2012.8548387096769
1226,2649.0161290322576
1227,3547.827956989247
1228,5077.559139784946
1229,6114.715053763441
1230,6599.435483870968
1231,6692.553763440861
1232,6365.822580645161
1233,5720.908602150537
1234,4825.268817204302
1235,3897.97311827957
1236,2954.2365591397847
1237,2035.6505376344085
1238,1180.6774193548388
1239,457.1881720430108
1240,0.0
1241,16.822580645161224
1242,493.26881720430106
1243,1195.97311827957
1244,1950.010752688172
1245,2702.005376344086
1246,3417.1505376344085
1247,4083.2150537634407
1248,1624.7365591397843
1249,2012.8548387096769
1250,2649.0161290322576
1251,3547.827956989247
1252,5077.559139784946
1253,6114.715053763441
1254,6599.435483870968
1255,6692.553763440861
1256,6365.822580645161
1257,5720.908602150537
1258,4825.268817204302
1259,3897.97311827957
1260,2954.2365591397847
1261,2035.6505376344085
1262,1180.6774193548388
1263,457.1881720430108
1264,0.0
1265,16.822580645161224
1266,493.26881720430106
1267,1195.97311827957
1268,1950.010752688172
1269,2702.005376344086
1270,3417.1505376344085
1271,4083.2150537634407
1272,1624.7365591397843
1273,2012.8548387096769
1274,2649.0161290322576
1275,3547.827956989247
1276,5077.559139784946
1277,6114.715053763441
1278,6599.435483870968
1279,6692.553763440861
1280,6365.822580645161
1281,5720.908602150537
1282,4825.268817204302
1283,3897.97311827957
1284,2954.2365591397847
1285,2035.6505376344085
1286,1180.6774193548388
1287,457.1881720430108
1288,0.0
1289,16.822580645161224
1290,493.26881720430106
1291,1195.97311827957
1292,1950.010752688172
1293,2702.005376344086
1294,3417.1505376344085
1295,4083.2150537634407
1296,1624.7365591397843
1297,2012.8548387096769
1298,2649.0161290322576
1299,3547.827956989247
1300,5077.559139784946
1301,6114.715053763441
1302,6599.435483870968
1303,6692.553763440861
1304,6365.822580645161
1305,5720.908602150537
1306,4825.268817204302
1307,3897.97311827957
1308,2954.2365591397847
1309,2035.6505376344085
1310,1180.6774193548388
1311,457.1881720430108
1312,0.0
1313,16.822580645161224
1314,493.26881720430106
1315,1195.97311827957
1316,1950.010752688172
1317,2702.005376344086
1318,3417.1505376344085
1319,4083.2150537634407
1320,1624.7365591397843
1321,2012.8548387096769
1322,2649.0161290322576
1323,3547.827956989247
1324,5077.559139784946
1325,6114.715053763441
1326,6599.435483870968
1327,6692.553763440861
1328,6365.822580645161
1329,5720.908602150537
1330,4825.268817204302
1331,3897.97311827957
1332,2954.2365591397847
1333,2035.6505376344085
1334,1180.6774193548388
1335,457.1881720430108
1336,0.0
